FuelType,Sector,el_inc,el_dem,el_cons,eff,Total Price Elasticity
bio,ind,0.15,-0.3,-0.3,0.005,-0.51
coa,ind,0.5,-0.3,-0.3,0.005,-0.51
die,ind,0.5,-0.3,-0.3,0.005,-0.51
gso,ind,0.5,-0.3,-0.3,0.005,-0.51
jfu,ind,0.5,-0.3,-0.3,0.005,-0.51
lpg,ind,0.5,-0.3,-0.3,0.005,-0.51
nga,ind,1,-0.3,-0.3,0.01,-0.51
oop,ind,0.5,-0.3,-0.3,0.005,-0.51
ore,ind,1,-0.3,-0.3,0.03,-0.51
ker,ind,0.5,-0.3,-0.3,0.005,-0.51
ecy,ind,0.75,-0.3,-0.3,0.005,-0.51
bio,oen,0.15,-0.3,-0.3,0.005,-0.51
coa,oen,0.5,-0.3,-0.3,0.005,-0.51
die,oen,0.5,-0.3,-0.3,0.005,-0.51
gso,oen,0.5,-0.3,-0.3,0.005,-0.51
jfu,oen,0.5,-0.3,-0.3,0.005,-0.51
lpg,oen,0.5,-0.3,-0.3,0.005,-0.51
nga,oen,1,-0.3,-0.3,0.01,-0.51
oop,oen,0.5,-0.3,-0.3,0.005,-0.51
ore,oen,1,-0.3,-0.3,0.03,-0.51
ker,oen,0.5,-0.3,-0.3,0.005,-0.51
ecy,oen,0.75,-0.3,-0.3,0.005,-0.51
bio,pow,0.15,-0.3,-0.3,0.005,-0.51
coa,pow,0.5,-0.3,-0.3,0.005,-0.51
die,pow,0.5,-0.3,-0.3,0.005,-0.51
gso,pow,0.5,-0.3,-0.3,0.005,-0.51
jfu,pow,0.5,-0.3,-0.3,0.005,-0.51
lpg,pow,0.5,-0.3,-0.3,0.005,-0.51
nga,pow,1,-0.3,-0.3,0.01,-0.51
oop,pow,0.5,-0.3,-0.3,0.005,-0.51
ore,pow,1,-0.3,-0.3,0.03,-0.51
ker,pow,0.5,-0.3,-0.3,0.005,-0.51
ecy,pow,0.75,-0.3,-0.3,0.005,-0.51
bio,res,0.15,-0.3,-0.3,0.005,-0.51
coa,res,0.5,-0.3,-0.3,0.005,-0.51
die,res,0.5,-0.3,-0.3,0.005,-0.51
gso,res,0.5,-0.3,-0.3,0.005,-0.51
jfu,res,0.5,-0.3,-0.3,0.005,-0.51
lpg,res,0.5,-0.3,-0.3,0.005,-0.51
nga,res,1,-0.3,-0.3,0.01,-0.51
oop,res,0.5,-0.3,-0.3,0.005,-0.51
ore,res,1,-0.3,-0.3,0.03,-0.51
ker,res,0.5,-0.3,-0.3,0.005,-0.51
ecy,res,0.75,-0.3,-0.3,0.005,-0.51
bio,tra,0.15,-0.3,-0.3,0.01,-0.51
coa,tra,0.6,-0.3,-0.3,0.01,-0.51
die,tra,0.6,-0.3,-0.3,0.01,-0.51
gso,tra,0.6,-0.3,-0.3,0.01,-0.51
jfu,tra,0.6,-0.3,-0.3,0.01,-0.51
lpg,tra,0.6,-0.3,-0.3,0.01,-0.51
nga,tra,0.6,-0.3,-0.3,0.01,-0.51
oop,tra,0.6,-0.3,-0.3,0.01,-0.51
ore,tra,0.6,-0.3,-0.3,0.01,-0.51
ker,tra,0.6,-0.3,-0.3,0.01,-0.51
ecy,tra,0.75,-0.3,-0.3,0.005,-0.51
