FlowCode,Sector,SubsectorCode,FlowIncluded,TransformationSign,FlowRow
imports,NA,NA,FALSE,0,1
production,NA,NA,FALSE,0,2
exports,NA,NA,FALSE,0,3
stockcha,NA,NA,FALSE,0,4
tpes,NA,NA,FALSE,0,5
statdiff,ind,ftr,TRUE,1,6
transfer,ind,ftr,TRUE,1,7
ownuse,ind,ftr,TRUE,1,8
distloss,ind,ftr,TRUE,1,9
tottranf,ind,ftr,TRUE,1,10
power,pow,pow,TRUE,-1,11
tfc,NA,NA,TRUE,0,12
eloutput,NA,NA,FALSE,0,13
road,tra,rod,TRUE,0,14
rail,tra,ral,TRUE,0,15
domesair,tra,avi,TRUE,0,16
intair,tra,wav,TRUE,0,17
resident,res,res,TRUE,0,18
food_forest,ind,foo,TRUE,0,19
services,ind,srv,TRUE,0,20
mining_chemicals,ind,mch,TRUE,0,21
ironstl,ind,irn,TRUE,0,22
nonferrmet,ind,nfm,TRUE,0,23
machinery,ind,mac,TRUE,0,24
cement,ind,cem,TRUE,0,25
other_manufact,ind,omn,TRUE,0,26
construc,ind,cst,TRUE,0,27
nonpowertrans,ind,ftr,TRUE,0,28
ononspec,ind,oen,TRUE,0,29
nonenuse,ind,neu,TRUE,0,30
pipeline,ind,ftr,TRUE,1,31
domesnav,tra,nav,TRUE,1,32
