Item code,ISO code,Unit,Year,Value,Source Code,Source Wording,Note,Title
etpmw,AL,MW,2000,160,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2010,98,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2015,98,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2016,98,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2017,98,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2018,98,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AL,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2000,670,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2010,803.236,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2015,711.636,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2016,702.156,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2017,702.156,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2018,704.406,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,AT,MW,2019,704.406,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2000,2712.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2010,1330.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2015,1715.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2016,1672.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2017,1666.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2018,1666.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BE,MW,2019,1666.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2000,12,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2010,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2015,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2016,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2017,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2018,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BA,MW,2019,230,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2000,300,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2010,74,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2015,74,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2016,74,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2017,74,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2018,74,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,BG,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2000,659.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2010,623.85,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2015,668.125,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2016,666.125,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2017,666.425,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2018,668.175,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HR,MW,2019,668.175,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2000,988,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2010,1463,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2015,1512,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2016,1508,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2017,1508,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2018,1508,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CY,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2000,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2010,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2015,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2016,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2017,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2018,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CZ,MW,2019,123,EURELEC ,Eurelectric,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2000,1904,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2010,1371,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2015,1157,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2016,1235,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2017,1171,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2018,1171,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DK,MW,2019,n.a.,IEA/EIEnerdata ,Enerdata from IEA Electricity Information. Source: IEA. All rights reserved,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2000,1005,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2010,770.1667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2015,597.3333,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2016,612.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2017,615,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2018,615,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,EE,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2000,3033,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2010,1984,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2015,2298.1143,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2016,1860.1143,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2017,1860.1143,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2018,1860.1143,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FI,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2000,16743,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2010,10494,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2015,8383,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2016,7137,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2017,4154.6,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2018,3497.6,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,FR,MW,2019,3401,RTEEnerdata ,Enerdata from Réseau de transport d'électricité (RTE),,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2000,7031,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2010,5810.45,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2015,2406.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2016,3129.8625,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2017,2943.9625,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2018,2878.625,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,DE,MW,2019,2878.625,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2000,1966,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2010,2505,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2015,2503,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2016,2516,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2017,2516,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2018,2516,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,GR,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2000,580,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2010,413,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2015,443,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2016,443,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2017,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2018,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2019,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2000,147.1,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2010,121,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2015,117,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2016,72,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2017,71.971,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2018,71.971,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2000,842,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2010,1141,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2015,925,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2016,925,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2017,923,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2018,923,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2000,16048.2571,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2010,10163.4714,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2015,3197.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2016,2563,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2017,2603.7,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2018,2484.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2019,2484.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2000,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2010,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
