ItemCode,Title,FuelType,Quantity
ecmpd,Electricity production from coal lignite,coa,ProductionGWh
eptpd,Electricity production from oil,oil,ProductionGWh
enupd,Nuclear electricity production,nuc,ProductionGWh
egnpd,Electricity production from natural gas,nga,ProductionGWh
eeopd,Wind electricity production,wnd,ProductionGWh
edvpd,Solar electricity production,sol,ProductionGWh
ehypd,Hydroelectric production,hyd,ProductionGWh
egepd,Geothermal electricity production,ore,ProductionGWh
emapd,Tidal electricity production,ore,ProductionGWh
enspd,Not specified electricity production,ore,ProductionGWh
ebipd,Electricity production from biomass and waste,bio,ProductionGWh
etpmw,Total electricity capacity oil (multifuel oil/gas included),oil,CapacityMW
etgmw,Total electricity capacity gas (multifuel oil/gas included),nga,CapacityMW
etcmw,Total electricity capacity coal lignite (multifuel included),coa,CapacityMW
solmw,Installed electricity capacity from solar,sol,CapacityMW
enumw,Installed nuclear electricity capacity,nuc,CapacityMW
ehymw,Installed hydroelectricity capacity,hyd,CapacityMW
emamw,Installed electricity of tidal power plant,ore,CapacityMW
egemw,Installed geothermal electricity capacity,ore,CapacityMW
eeomw,Installed wind electricity capacity,wnd,CapacityMW
eanmw,Total electricity capacity biomass and waste,bio,CapacityMW
