CountryCode,SubsectorCode,Sector,FuelType,BaseYearEnergy
ALB,cem,ind,ecy,0.376812
ALB,cem,ind,coa,8.834148
ALB,cem,ind,nga,0
ALB,cem,ind,gso,0
ALB,cem,ind,die,0.083736
ALB,cem,ind,lpg,0
ALB,cem,ind,ker,0
ALB,cem,ind,oop,1.800324
ALB,cem,ind,bio,0
ALB,cem,ind,jfu,0
ALB,cem,ind,wnd,0
ALB,cem,ind,sol,0
ALB,cem,ind,hyd,0
ALB,cst,ind,ecy,0.41868
ALB,cst,ind,coa,0
ALB,cst,ind,nga,0
ALB,cst,ind,gso,0
ALB,cst,ind,die,0.041868
ALB,cst,ind,lpg,0
ALB,cst,ind,ker,0
ALB,cst,ind,oop,0
ALB,cst,ind,bio,0
ALB,cst,ind,jfu,0
ALB,cst,ind,wnd,0
ALB,cst,ind,sol,0
ALB,cst,ind,hyd,0
ALB,avi,tra,ecy,0
ALB,avi,tra,coa,0
ALB,avi,tra,nga,0
ALB,avi,tra,gso,0
ALB,avi,tra,die,0
ALB,avi,tra,lpg,0
ALB,avi,tra,ker,0
ALB,avi,tra,oop,0
ALB,avi,tra,bio,0
ALB,avi,tra,jfu,0
ALB,avi,tra,wnd,0
ALB,avi,tra,sol,0
ALB,avi,tra,hyd,0
ALB,nav,tra,ecy,0
ALB,nav,tra,coa,0
ALB,nav,tra,nga,0
ALB,nav,tra,gso,0
ALB,nav,tra,die,1.25604
ALB,nav,tra,lpg,0
ALB,nav,tra,ker,0
ALB,nav,tra,oop,0
ALB,nav,tra,bio,0
ALB,nav,tra,jfu,0
ALB,nav,tra,wnd,0
ALB,nav,tra,sol,0
ALB,nav,tra,hyd,0
ALB,foo,ind,ecy,1.297908
ALB,foo,ind,coa,0
ALB,foo,ind,nga,0.251208
ALB,foo,ind,gso,0
ALB,foo,ind,die,3.600648
ALB,foo,ind,lpg,0.334944
ALB,foo,ind,ker,0
ALB,foo,ind,oop,0.711756
ALB,foo,ind,bio,0.879228
ALB,foo,ind,jfu,0
ALB,foo,ind,wnd,0
ALB,foo,ind,sol,0.041868
ALB,foo,ind,hyd,0
ALB,irn,ind,ecy,1.004832
ALB,irn,ind,coa,0
ALB,irn,ind,nga,0
ALB,irn,ind,gso,0
ALB,irn,ind,die,0.083736
ALB,irn,ind,lpg,0
ALB,irn,ind,ker,0
ALB,irn,ind,oop,0.041868
ALB,irn,ind,bio,0
ALB,irn,ind,jfu,0
ALB,irn,ind,wnd,0
ALB,irn,ind,sol,0
ALB,irn,ind,hyd,0
ALB,mac,ind,ecy,0
ALB,mac,ind,coa,0
ALB,mac,ind,nga,0
ALB,mac,ind,gso,0
ALB,mac,ind,die,0
ALB,mac,ind,lpg,0
ALB,mac,ind,ker,0
ALB,mac,ind,oop,0
ALB,mac,ind,bio,0
ALB,mac,ind,jfu,0
ALB,mac,ind,wnd,0
ALB,mac,ind,sol,0
ALB,mac,ind,hyd,0
ALB,mch,ind,ecy,0.753624
ALB,mch,ind,coa,0
ALB,mch,ind,nga,0
ALB,mch,ind,gso,0.167472
ALB,mch,ind,die,0.041868
ALB,mch,ind,lpg,0.041868
ALB,mch,ind,ker,0
ALB,mch,ind,oop,0.041868
ALB,mch,ind,bio,0
ALB,mch,ind,jfu,0
ALB,mch,ind,wnd,0
ALB,mch,ind,sol,0
ALB,mch,ind,hyd,0
ALB,nfm,ind,ecy,0.251208
ALB,nfm,ind,coa,0
ALB,nfm,ind,nga,0
ALB,nfm,ind,gso,0
ALB,nfm,ind,die,0
ALB,nfm,ind,lpg,0
ALB,nfm,ind,ker,0
ALB,nfm,ind,oop,0
ALB,nfm,ind,bio,0
ALB,nfm,ind,jfu,0
ALB,nfm,ind,wnd,0
ALB,nfm,ind,sol,0
ALB,nfm,ind,hyd,0
ALB,oen,ind,ecy,0
ALB,oen,ind,coa,0
ALB,oen,ind,nga,0
ALB,oen,ind,gso,0
ALB,oen,ind,die,0
ALB,oen,ind,lpg,0
ALB,oen,ind,ker,0
ALB,oen,ind,oop,0
ALB,oen,ind,bio,0
ALB,oen,ind,jfu,0
ALB,oen,ind,wnd,0
ALB,oen,ind,sol,0
ALB,oen,ind,hyd,0
ALB,omn,ind,ecy,1.0467
ALB,omn,ind,coa,0.376812
ALB,omn,ind,nga,0.041868
ALB,omn,ind,gso,0.083736
ALB,omn,ind,die,0.083736
ALB,omn,ind,lpg,0.125604
ALB,omn,ind,ker,0
ALB,omn,ind,oop,0.41868
ALB,omn,ind,bio,0
ALB,omn,ind,jfu,0
ALB,omn,ind,wnd,0
ALB,omn,ind,sol,0
ALB,omn,ind,hyd,0
ALB,pow,pow,ecy,-30.77298
ALB,pow,pow,coa,0
ALB,pow,pow,nga,0
ALB,pow,pow,gso,0
ALB,pow,pow,die,0
ALB,pow,pow,lpg,0
ALB,pow,pow,ker,0
ALB,pow,pow,oop,0
ALB,pow,pow,bio,0
ALB,pow,pow,jfu,0
ALB,pow,pow,wnd,0
ALB,pow,pow,sol,0
ALB,pow,pow,hyd,30.77298
ALB,ral,tra,ecy,0
ALB,ral,tra,coa,0
ALB,ral,tra,nga,0
ALB,ral,tra,gso,0
ALB,ral,tra,die,0.083736
ALB,ral,tra,lpg,0
ALB,ral,tra,ker,0
ALB,ral,tra,oop,0
ALB,ral,tra,bio,0
ALB,ral,tra,jfu,0
ALB,ral,tra,wnd,0
ALB,ral,tra,sol,0
ALB,ral,tra,hyd,0
ALB,res,res,ecy,11.346228
ALB,res,res,coa,0
ALB,res,res,nga,0
ALB,res,res,gso,0
ALB,res,res,die,0
ALB,res,res,lpg,4.479876
ALB,res,res,ker,0
ALB,res,res,oop,0
ALB,res,res,bio,5.149764
ALB,res,res,jfu,0
ALB,res,res,wnd,0
ALB,res,res,sol,0.334944
ALB,res,res,hyd,0
ALB,rod,tra,ecy,0
ALB,rod,tra,coa,0
ALB,rod,tra,nga,0
ALB,rod,tra,gso,4.061196
ALB,rod,tra,die,23.822892
ALB,rod,tra,lpg,0.460548
ALB,rod,tra,ker,0
ALB,rod,tra,oop,0
ALB,rod,tra,bio,0
ALB,rod,tra,jfu,0
ALB,rod,tra,wnd,0
ALB,rod,tra,sol,0
ALB,rod,tra,hyd,0
ALB,srv,ind,ecy,5.400972
ALB,srv,ind,coa,0.125604
ALB,srv,ind,nga,0
ALB,srv,ind,gso,0
ALB,srv,ind,die,0
ALB,srv,ind,lpg,2.30274
ALB,srv,ind,ker,0
ALB,srv,ind,oop,0.251208
ALB,srv,ind,bio,0.586152
ALB,srv,ind,jfu,0
ALB,srv,ind,wnd,0
ALB,srv,ind,sol,0.20934
ALB,srv,ind,hyd,0
DZA,cem,ind,ecy,10.634472
DZA,cem,ind,coa,0
DZA,cem,ind,nga,83.024244
DZA,cem,ind,gso,0
DZA,cem,ind,die,0.41868
DZA,cem,ind,lpg,0
DZA,cem,ind,ker,0
DZA,cem,ind,oop,0
DZA,cem,ind,bio,0
DZA,cem,ind,jfu,0
DZA,cem,ind,wnd,0
DZA,cem,ind,sol,0
DZA,cem,ind,hyd,0
DZA,cst,ind,ecy,6.573276
DZA,cst,ind,coa,0
DZA,cst,ind,nga,52.000056
DZA,cst,ind,gso,0
DZA,cst,ind,die,15.7005
DZA,cst,ind,lpg,0.376812
DZA,cst,ind,ker,0.20934
DZA,cst,ind,oop,0
DZA,cst,ind,bio,0
DZA,cst,ind,jfu,0
DZA,cst,ind,wnd,0
DZA,cst,ind,sol,0
DZA,cst,ind,hyd,0
DZA,avi,tra,ecy,0
DZA,avi,tra,coa,0
DZA,avi,tra,nga,0
DZA,avi,tra,gso,0
DZA,avi,tra,die,0
DZA,avi,tra,lpg,0
DZA,avi,tra,ker,0
DZA,avi,tra,oop,0
DZA,avi,tra,bio,0
DZA,avi,tra,jfu,4.144932
DZA,avi,tra,wnd,0
DZA,avi,tra,sol,0
DZA,avi,tra,hyd,0
DZA,nav,tra,ecy,0
DZA,nav,tra,coa,0
DZA,nav,tra,nga,0
DZA,nav,tra,gso,0
DZA,nav,tra,die,0
DZA,nav,tra,lpg,0
DZA,nav,tra,ker,0
DZA,nav,tra,oop,0
DZA,nav,tra,bio,0
DZA,nav,tra,jfu,0
DZA,nav,tra,wnd,0
DZA,nav,tra,sol,0
DZA,nav,tra,hyd,0
DZA,foo,ind,ecy,11.597436
DZA,foo,ind,coa,0
DZA,foo,ind,nga,21.185208
DZA,foo,ind,gso,0
DZA,foo,ind,die,0.711756
DZA,foo,ind,lpg,0.879228
DZA,foo,ind,ker,0
DZA,foo,ind,oop,0
DZA,foo,ind,bio,0
DZA,foo,ind,jfu,0
DZA,foo,ind,wnd,0
DZA,foo,ind,sol,0
DZA,foo,ind,hyd,0
DZA,irn,ind,ecy,0.167472
DZA,irn,ind,coa,4.856688
DZA,irn,ind,nga,17.124012
DZA,irn,ind,gso,0
DZA,irn,ind,die,0
DZA,irn,ind,lpg,0
DZA,irn,ind,ker,0
DZA,irn,ind,oop,0
DZA,irn,ind,bio,0
DZA,irn,ind,jfu,0
DZA,irn,ind,wnd,0
DZA,irn,ind,sol,0
DZA,irn,ind,hyd,0
DZA,mac,ind,ecy,0
DZA,mac,ind,coa,0
DZA,mac,ind,nga,0
DZA,mac,ind,gso,0
DZA,mac,ind,die,0
DZA,mac,ind,lpg,0
DZA,mac,ind,ker,0
DZA,mac,ind,oop,0
DZA,mac,ind,bio,0
DZA,mac,ind,jfu,0
DZA,mac,ind,wnd,0
DZA,mac,ind,sol,0
DZA,mac,ind,hyd,0
DZA,mch,ind,ecy,6.782616
DZA,mch,ind,coa,0
DZA,mch,ind,nga,2.386476
DZA,mch,ind,gso,0
DZA,mch,ind,die,0.20934
DZA,mch,ind,lpg,0
DZA,mch,ind,ker,0
DZA,mch,ind,oop,0
DZA,mch,ind,bio,0
DZA,mch,ind,jfu,0
DZA,mch,ind,wnd,0
DZA,mch,ind,sol,0
DZA,mch,ind,hyd,0
DZA,nfm,ind,ecy,0
DZA,nfm,ind,coa,0
DZA,nfm,ind,nga,0
DZA,nfm,ind,gso,0
DZA,nfm,ind,die,0
DZA,nfm,ind,lpg,0
DZA,nfm,ind,ker,0
DZA,nfm,ind,oop,0
DZA,nfm,ind,bio,0
DZA,nfm,ind,jfu,0
DZA,nfm,ind,wnd,0
DZA,nfm,ind,sol,0
DZA,nfm,ind,hyd,0
DZA,oen,ind,ecy,26.1675
DZA,oen,ind,coa,0
DZA,oen,ind,nga,29.433204
DZA,oen,ind,gso,2.595816
DZA,oen,ind,die,27.549144
DZA,oen,ind,lpg,2.219004
DZA,oen,ind,ker,0
DZA,oen,ind,oop,0
DZA,oen,ind,bio,0
DZA,oen,ind,jfu,0
DZA,oen,ind,wnd,0
DZA,oen,ind,sol,0
DZA,oen,ind,hyd,0
DZA,omn,ind,ecy,42.998436
DZA,omn,ind,coa,0
DZA,omn,ind,nga,7.3269
DZA,omn,ind,gso,0.041868
DZA,omn,ind,die,3.014496
DZA,omn,ind,lpg,2.553948
DZA,omn,ind,ker,0.586152
DZA,omn,ind,oop,0.795492
DZA,omn,ind,bio,0.62802
DZA,omn,ind,jfu,0
DZA,omn,ind,wnd,0
DZA,omn,ind,sol,0
DZA,omn,ind,hyd,0
DZA,pow,pow,ecy,-275.993856
DZA,pow,pow,coa,0
DZA,pow,pow,nga,676.126332
DZA,pow,pow,gso,0
DZA,pow,pow,die,9.545904
DZA,pow,pow,lpg,0
DZA,pow,pow,ker,0
DZA,pow,pow,oop,0
DZA,pow,pow,bio,0
DZA,pow,pow,jfu,0
DZA,pow,pow,wnd,0.041868
DZA,pow,pow,sol,2.344608
DZA,pow,pow,hyd,0.41868
DZA,ral,tra,ecy,2.72142
DZA,ral,tra,coa,0
DZA,ral,tra,nga,0
DZA,ral,tra,gso,0
DZA,ral,tra,die,1.632852
DZA,ral,tra,lpg,0
DZA,ral,tra,ker,0
DZA,ral,tra,oop,4.438008
DZA,ral,tra,bio,0
DZA,ral,tra,jfu,0
DZA,ral,tra,wnd,0
DZA,ral,tra,sol,0
DZA,ral,tra,hyd,0
DZA,res,res,ecy,89.011368
DZA,res,res,coa,0
DZA,res,res,nga,378.193644
DZA,res,res,gso,0
DZA,res,res,die,0
DZA,res,res,lpg,70.003296
DZA,res,res,ker,0
DZA,res,res,oop,0
DZA,res,res,bio,0.293076
DZA,res,res,jfu,0
DZA,res,res,wnd,0
DZA,res,res,sol,0
DZA,res,res,hyd,0
DZA,rod,tra,ecy,0
DZA,rod,tra,coa,0
DZA,rod,tra,nga,0
DZA,rod,tra,gso,173.710332
DZA,rod,tra,die,389.330532
DZA,rod,tra,lpg,32.112756
DZA,rod,tra,ker,0
DZA,rod,tra,oop,0
DZA,rod,tra,bio,0
DZA,rod,tra,jfu,0
DZA,rod,tra,wnd,0
DZA,rod,tra,sol,0
DZA,rod,tra,hyd,0
DZA,srv,ind,ecy,11.220624
DZA,srv,ind,coa,0
DZA,srv,ind,nga,12.602268
DZA,srv,ind,gso,0
DZA,srv,ind,die,0
DZA,srv,ind,lpg,0
DZA,srv,ind,ker,0
DZA,srv,ind,oop,0
DZA,srv,ind,bio,0
DZA,srv,ind,jfu,0
DZA,srv,ind,wnd,0
DZA,srv,ind,sol,0
DZA,srv,ind,hyd,0
AGO,cem,ind,ecy,0
AGO,cem,ind,coa,0
AGO,cem,ind,nga,0
AGO,cem,ind,gso,0
AGO,cem,ind,die,0
AGO,cem,ind,lpg,0
AGO,cem,ind,ker,0
AGO,cem,ind,oop,0
AGO,cem,ind,bio,0
AGO,cem,ind,jfu,0
AGO,cem,ind,wnd,0
AGO,cem,ind,sol,0
AGO,cem,ind,hyd,0
AGO,cst,ind,ecy,0
AGO,cst,ind,coa,0
AGO,cst,ind,nga,0
AGO,cst,ind,gso,0.20934
AGO,cst,ind,die,3.098232
AGO,cst,ind,lpg,0
AGO,cst,ind,ker,0
AGO,cst,ind,oop,0.83736
AGO,cst,ind,bio,0
AGO,cst,ind,jfu,0
AGO,cst,ind,wnd,0
AGO,cst,ind,sol,0
AGO,cst,ind,hyd,0
AGO,avi,tra,ecy,0
AGO,avi,tra,coa,0
AGO,avi,tra,nga,0
AGO,avi,tra,gso,0
AGO,avi,tra,die,0
AGO,avi,tra,lpg,0
AGO,avi,tra,ker,0
AGO,avi,tra,oop,0
AGO,avi,tra,bio,0
AGO,avi,tra,jfu,1.758456
AGO,avi,tra,wnd,0
AGO,avi,tra,sol,0
AGO,avi,tra,hyd,0
AGO,nav,tra,ecy,0
AGO,nav,tra,coa,0
AGO,nav,tra,nga,0
AGO,nav,tra,gso,0
AGO,nav,tra,die,0.460548
AGO,nav,tra,lpg,0
AGO,nav,tra,ker,0
AGO,nav,tra,oop,0
AGO,nav,tra,bio,0
AGO,nav,tra,jfu,0
AGO,nav,tra,wnd,0
AGO,nav,tra,sol,0
AGO,nav,tra,hyd,0
AGO,foo,ind,ecy,0
AGO,foo,ind,coa,0
AGO,foo,ind,nga,0
AGO,foo,ind,gso,0
AGO,foo,ind,die,0.251208
AGO,foo,ind,lpg,0
AGO,foo,ind,ker,0
AGO,foo,ind,oop,0
AGO,foo,ind,bio,0
AGO,foo,ind,jfu,0
AGO,foo,ind,wnd,0
AGO,foo,ind,sol,0
AGO,foo,ind,hyd,0
AGO,irn,ind,ecy,0
AGO,irn,ind,coa,0
AGO,irn,ind,nga,0
