Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW,LCOE.USD_kWh,EffectiveCapacity.MW
ago.coa,AGO,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
ago.nga,AGO,nga,2018,0,0,0,0,1184,0.605238095,0.444415819,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,716.6019045
ago.oil,AGO,oil,2018,1927,3001,2556.635888,342.5799087,1443.38,0.251113017,0.141768919,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,362.4515065
ago.nuc,AGO,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
ago.wnd,AGO,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,0
ago.sol,AGO,sol,2018,0,0,0,0,13,0.177419355,1,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,2.306451615
ago.hyd,AGO,hyd,2018,751,8734,996.384822,997.0319635,2699,0.351978515,0.953436855,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,949.990012
ago.ore,AGO,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
ago.bio,AGO,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,0
alb.coa,ALB,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
alb.nga,ALB,nga,2018,0,0,0,0,0,0.605238095,0.444415819,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,0
alb.oil,ALB,oil,2018,0,0,0,0,98,0.45,0.323193916,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,44.1
