Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,Production.MWy
ago.coa,AGO,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
ago.nga,AGO,nga,2018,-0,0,1184,0,-0,0.6052380952380952,0.44441581862681956,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,0
ago.oil,AGO,oil,2018,1927,3001,1443.38,342.57990867579906,2556.6358880287303,0.25111301725762797,0.14176891928430993,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,362.4515068493151
ago.nuc,AGO,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
ago.wnd,AGO,wnd,2018,-0,0,0,0,-0,0.3464285714285714,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0
ago.sol,AGO,sol,2018,-0,0,13,0,-0,0.1774193548387097,1,0,0.0770219361256934,0,0,0.0770219361256934,0
ago.hyd,AGO,hyd,2018,751,8734,2699,997.0319634703196,996.3848219561891,0.3519785147890052,0.9534368554013322,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,949.9900114155251
ago.ore,AGO,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
ago.bio,AGO,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
alb.coa,ALB,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
alb.nga,ALB,nga,2018,-0,0,0,0,-0,0.6052380952380952,0.44441581862681956,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,0
alb.oil,ALB,oil,2018,-0,0,98,0,-0,0.45,0.3231939163498099,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,0
alb.nuc,ALB,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
alb.wnd,ALB,wnd,2018,-0,0,0,0,-0,0.3464285714285714,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0
alb.sol,ALB,sol,2018,-0,1,1,0.1141552511415525,-0,0.2511415525114155,1,0,0.0770219361256934,0,0,0.0770219361256934,0.2511415525114155
alb.hyd,ALB,hyd,2018,735,8552,2105,976.2557077625571,975.1569162953382,0.4637875627718305,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,976.2728196347032
alb.ore,ALB,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
alb.bio,ALB,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
are.coa,ARE,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
are.nga,ARE,nga,2018,29767,133739,32371,15267.009132420091,39493.19173790929,0.4692229935074928,0.384603443136023,0.9,0.0662817113136307,0.0469414384475,0.003,0.019340272866130687,15189.21752283105
are.oil,ARE,oil,2018,242,953,500,108.78995433789954,321.07207312036985,0.3493150684931507,0.543982329416412,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,174.65753424657535
are.nuc,ARE,nuc,2018,-0,0,0,0,-0,0.91,0.33,0,0.06532159574534824,0.0032,0.0032,0.06212159574534824,0
are.wnd,ARE,wnd,2018,-0,1,1,0.1141552511415525,-0,0.3464285714285714,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0
are.sol,ARE,sol,2018,153,1303,594,148.74429223744292,202.99184788188674,0.27081847777624035,0.7924760401840801,0,0.06093691148475135,0,0,0.06093691148475135,160.86617579908676
are.hyd,ARE,hyd,2018,-0,0,0,0,-0,0.6766666666666666,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,0
are.ore,ARE,ore,2018,-0,0,0,0,-0,0.40436507936507937,1,0,0.13922978166662117,0.0025626984126984127,0.0025626984126984127,0.13666708325392277,0
are.bio,ARE,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
arg.coa,ARG,coa,2018,537,2283,930,260.6164383561644,712.4615837423084,0.3052161707664359,0.39840890412900076,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,283.8510388127854
arg.nga,ARG,nga,2018,16567,95357,24072.5,10885.502283105023,21980.1695677073,0.4123413741119743,0.4515928640920794,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,9926.087728310502
arg.oil,ARG,oil,2018,1584,6811,2913,777.5114155251141,2101.562660424239,0.25570846794482927,0.35444042718808116,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,744.8787671232876
arg.nuc,ARG,nuc,2018,1798,6902,1627,787.8995433789954,2385.4858986381196,0.4921203478402416,0.3356464217177655,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,800.6798059360731
arg.wnd,ARG,wnd,2018,121,1413,750,161.3013698630137,160.53603656018493,0.21502937595129376,1,0,0.05869487729588764,0,0,0.05869487729588764,161.2720319634703
arg.sol,ARG,sol,2018,9,108,190.63,12.32876712328767,11.940696934228633,0.06474386658800417,1,0,0.13579403292252848,0,0,0.13579403292252848,12.342123287671233
arg.hyd,ARG,hyd,2018,2776,32285,11288.32,3685.502283105023,3683.0416321576313,0.4076684176663503,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,4601.891552511415
arg.ore,ARG,ore,2018,42,145,0,16.552511415525114,55.72325235973361,0.44555555555555554,1,0,0.18296578599930036,6.222222222222223e-4,6.222222222222223e-4,0.18234356377707814,0
arg.bio,ARG,bio,2018,548,1215,653,138.6986301369863,727.0557688841433,0.3354092457012594,0.301245443357212,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,219.02223744292237
arm.coa,ARM,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
arm.nga,ARM,nga,2018,632,3376,2390,385.38812785388126,838.5022736036107,0.16122554498385586,0.4595444337382608,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,385.3290525114155
arm.oil,ARM,oil,2018,-0,0,0,0,-0,0.45,0.3231939163498099,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,0
arm.nuc,ARM,nuc,2018,541,2076,407.5,236.986301369863,717.7685601575212,0.5815894893128274,0.3301868179388712,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,236.99771689497717
arm.wnd,ARM,wnd,2018,-0,2,11.8,0.228310502283105,-0,0.016271960374584008,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0.19200913242009132
arm.sol,ARM,sol,2018,2,19,17,2.1689497716894977,2.653488207606362,0.051573999462798815,0.330417142369168,0,0.0770219361256934,0,0,0.0770219361256934,0.8767579908675799
arm.hyd,ARM,hyd,2018,199,2318,1336.4,264.61187214611874,264.02207665683306,0.19802930998429638,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,264.6463698630137
arm.ore,ARM,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
