CountryCode,country,year,measure,FlowCode,ecy,coa,nga,oop,gso,die,ker,lpg,jfu,wnd,sol,hyd,ore,nuc,bio,hea,totren,total
ALB,Albania,2018,ktoe,power,735,0,0,0,0,0,0,0,0,0,0,-735,0,0,0,0,-735,0
DZA,Algeria,2018,ktoe,power,6592,0,-16149,0,0,-228,0,0,0,-1,-56,-10,0,0,0,0,-67,-9852
AGO,Angola,2018,ktoe,power,1009,0,0,-762,0,-1165,0,0,0,0,0,-751,0,0,0,0,-751,-1669
ARG,Argentina,2018,ktoe,power,12598,-537,-16567,-763,0,-821,0,0,0,-121,-9,-2776,-42,-1798,-548,0,-3496,-11385
ARM,Armenia,2018,ktoe,power,670,0,-632,0,0,0,0,0,0,0,-2,-199,0,-541,0,1,-201,-703
AUS,Australia,2018,ktoe,power,22425,-37593,-12302,-90,0,-1048,0,0,0,-1304,-854,-1361,-350,0,-807,0,-4676,-33283
AUT,Austria,2018,ktoe,power,5590,-816,-1951,-315,0,-3,0,0,0,-519,-124,-3236,-683,0,-983,1182,-5219,-1858
AZE,Azerbaijan,2018,ktoe,power,2169,0,-4996,0,0,-13,0,0,0,-7,-3,-152,-71,0,0,142,-198,-2931
BHR,Bahrain,2018,ktoe,power,2541,0,-8676,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6136
BGD,Bangladesh,2018,ktoe,power,6759,-393,-13282,-858,0,-1010,0,0,0,-1,-25,-93,0,0,0,0,-119,-8902
BLR,Belarus,2018,ktoe,power,3352,-32,-10302,-126,0,0,0,0,0,-9,-15,-28,-27,0,-149,3894,-211,-3441
BEL,Belgium,2018,ktoe,power,6329,-468,-3784,-23,0,-5,-2,-1,0,-642,-335,-27,-1015,-7451,-723,531,-2241,-7618
BEN,Benin,2018,ktoe,power,17,0,-16,-20,0,-21,0,0,0,0,0,0,0,0,0,0,0,-40
VEN,Bolivarian Republic of Venezuela,2018,ktoe,power,8576,0,-6483,-534,0,-4626,0,0,0,-6,-1,-5000,0,0,0,0,-5007,-8074
BIH,Bosnia and Herzegovina,2018,ktoe,power,1639,-3328,-6,-11,0,0,0,0,0,-9,-2,-552,-2,0,-5,42,-570,-2234
BWA,Botswana,2018,ktoe,power,272,-1128,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-859
BRA,Brazil,2018,ktoe,power,51670,-4844,-10648,-1597,0,-1092,0,0,0,-4168,-298,-33445,-343,-4084,-9320,0,-47575,-18169
BRN,Brunei Darussalam,2018,ktoe,power,369,0,-1296,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,-940
BGR,Bulgaria,2018,ktoe,power,4002,-4893,-617,-69,0,-2,0,0,0,-113,-115,-443,-71,-4186,-389,648,-1105,-6248
KHM,Cambodia,2018,ktoe,power,703,-749,0,-54,0,-35,0,0,0,0,-1,-407,0,0,-33,0,-442,-578
CMR,Cameroon,2018,ktoe,power,742,0,-642,-84,0,-261,0,0,0,0,-2,-432,0,0,-9,0,-442,-688
CAN,Canada,2018,ktoe,power,56259,-10821,-15447,-1552,0,-361,0,0,0,-2853,-326,-33176,-327,-26246,-2182,372,-38836,-36662
CHL,Chile,2018,ktoe,power,7078,-6673,-2167,-219,0,-177,0,-1,0,-309,-449,-2009,-271,0,-4453,0,-7491,-9650
CHN,China,2018,ktoe,power,614695,-1141316,-47822,-2374,0,-265,0,-2,0,-31453,-15289,-103113,-4726,-76865,-31153,101547,-181117,-738137
TWN,Chinese Taipei,2018,ktoe,power,23406,-29048,-14366,-2001,0,-81,0,0,0,-145,-236,-384,-1084,-7213,-24,2324,-1333,-28852
COL,Colombia,2018,ktoe,power,6876,-1097,-2709,-320,0,-327,0,0,0,-4,-2,-5153,-2,0,-370,0,-5531,-3107
COD,"Congo, Democratic Republic of the",2018,ktoe,power,910,0,0,0,0,-2,0,0,0,0,-1,-906,0,0,-99,0,-1006,-98
CRI,Costa Rica,2018,ktoe,power,989,0,0,-30,0,-3,0,0,0,-155,-5,-717,-833,0,-29,0,-1739,-784
HRV,Croatia,2018,ktoe,power,1165,-297,-535,-13,0,-1,0,0,0,-115,-6,-662,-75,0,-167,262,-1026,-445
CUB,Cuba,2018,ktoe,power,1792,0,-567,-2268,0,-509,0,0,0,-2,-13,-13,0,0,-363,0,-390,-1941
