CountryCode,SubsectorCode,Sector,FuelType,BaseYearEnergy
ALB,cem,ind,ecy,0.37681200000000004
ALB,cst,ind,ecy,0.41868000000000005
ALB,avi,tra,ecy,0
ALB,nav,tra,ecy,0
ALB,foo,ind,ecy,1.297908
ALB,irn,ind,ecy,1.004832
ALB,mac,ind,ecy,0
ALB,mch,ind,ecy,0.7536240000000001
ALB,nfm,ind,ecy,0.251208
ALB,oen,ind,ecy,0
ALB,omn,ind,ecy,1.0467
ALB,pow,pow,ecy,-30.77298
ALB,ral,tra,ecy,0
ALB,res,res,ecy,11.346228
ALB,rod,tra,ecy,0
ALB,srv,ind,ecy,5.400972
DZA,cem,ind,ecy,10.634472
DZA,cst,ind,ecy,6.573276000000001
DZA,avi,tra,ecy,0
DZA,nav,tra,ecy,0
DZA,foo,ind,ecy,11.597436
DZA,irn,ind,ecy,0.167472
DZA,mac,ind,ecy,0
DZA,mch,ind,ecy,6.782616
DZA,nfm,ind,ecy,0
DZA,oen,ind,ecy,26.1675
DZA,omn,ind,ecy,42.998436000000005
DZA,pow,pow,ecy,-275.993856
DZA,ral,tra,ecy,2.72142
DZA,res,res,ecy,89.011368
DZA,rod,tra,ecy,0
DZA,srv,ind,ecy,11.220624
AGO,cem,ind,ecy,0
AGO,cst,ind,ecy,0
AGO,avi,tra,ecy,0
AGO,nav,tra,ecy,0
AGO,foo,ind,ecy,0
AGO,irn,ind,ecy,0
AGO,mac,ind,ecy,0
AGO,mch,ind,ecy,0
AGO,nfm,ind,ecy,0
AGO,oen,ind,ecy,0
AGO,omn,ind,ecy,12.267324
AGO,pow,pow,ecy,-42.244812
AGO,ral,tra,ecy,0
AGO,res,res,ecy,24.157836
AGO,rod,tra,ecy,0
AGO,srv,ind,ecy,0
ARG,cem,ind,ecy,16.998408
ARG,cst,ind,ecy,0
ARG,avi,tra,ecy,0
ARG,nav,tra,ecy,0
ARG,foo,ind,ecy,50.325336
ARG,irn,ind,ecy,21.687624
ARG,mac,ind,ecy,9.21096
ARG,mch,ind,ecy,44.254476000000004
ARG,nfm,ind,ecy,18.086976
ARG,oen,ind,ecy,0
ARG,omn,ind,ecy,25.497612
ARG,pow,pow,ecy,-527.453064
ARG,ral,tra,ecy,1.967796
ARG,res,res,ecy,160.10323200000002
ARG,rod,tra,ecy,0
ARG,srv,ind,ecy,115.47194400000001
ARM,cem,ind,ecy,0.544284
ARM,cst,ind,ecy,0.125604
ARM,avi,tra,ecy,0
ARM,nav,tra,ecy,0
ARM,foo,ind,ecy,1.5072480000000001
ARM,irn,ind,ecy,0.251208
ARM,mac,ind,ecy,0.083736
ARM,mch,ind,ecy,2.344608
ARM,nfm,ind,ecy,0.7954920000000001
ARM,oen,ind,ecy,5.484708
ARM,omn,ind,ecy,0.334944
ARM,pow,pow,ecy,-28.051560000000002
ARM,ral,tra,ecy,0.251208
ARM,res,res,ecy,6.573276000000001
ARM,rod,tra,ecy,0.041868
ARM,srv,ind,ecy,1.0467
AUS,cem,ind,ecy,16.495992
AUS,cst,ind,ecy,1.004832
AUS,avi,tra,ecy,0
AUS,nav,tra,ecy,0
AUS,foo,ind,ecy,31.484736
AUS,irn,ind,ecy,12.853476
AUS,mac,ind,ecy,1.88406
AUS,mch,ind,ecy,83.90347200000001
AUS,nfm,ind,ecy,117.397872
AUS,oen,ind,ecy,0
AUS,omn,ind,ecy,15.784236000000002
AUS,pow,pow,ecy,-938.8899
AUS,ral,tra,ecy,11.639304000000001
AUS,res,res,ecy,213.31746
AUS,rod,tra,ecy,NA
AUS,srv,ind,ecy,252.46404
AUT,cem,ind,ecy,8.834148
AUT,cst,ind,ecy,1.925928
AUT,avi,tra,ecy,0
AUT,nav,tra,ecy,0
AUT,foo,ind,ecy,18.212580000000003
AUT,irn,ind,ecy,9.00162
AUT,mac,ind,ecy,18.338184000000002
AUT,mch,ind,ecy,23.822892000000003
AUT,nfm,ind,ecy,3.809988
AUT,oen,ind,ecy,0
AUT,omn,ind,ecy,23.446080000000002
AUT,pow,pow,ecy,-234.04212
AUT,ral,tra,ecy,7.285032
AUT,res,res,ecy,63.764964000000006
AUT,rod,tra,ecy,0.041868
AUT,srv,ind,ecy,44.128872
AZE,cem,ind,ecy,1.5491160000000002
AZE,cst,ind,ecy,2.0934
AZE,avi,tra,ecy,0
AZE,nav,tra,ecy,0
AZE,foo,ind,ecy,6.447672000000001
AZE,irn,ind,ecy,1.172304
AZE,mac,ind,ecy,0.62802
AZE,mch,ind,ecy,1.339776
AZE,nfm,ind,ecy,3.0563640000000003
AZE,oen,ind,ecy,0
AZE,omn,ind,ecy,1.172304
AZE,pow,pow,ecy,-90.81169200000001
AZE,ral,tra,ecy,1.130436
AZE,res,res,ecy,24.115968000000002
AZE,rod,tra,ecy,0
AZE,srv,ind,ecy,21.185208000000003
BHR,cem,ind,ecy,0
BHR,cst,ind,ecy,0
BHR,avi,tra,ecy,0
BHR,nav,tra,ecy,0
BHR,foo,ind,ecy,0.20934000000000003
BHR,irn,ind,ecy,0
BHR,mac,ind,ecy,0
BHR,mch,ind,ecy,0
BHR,nfm,ind,ecy,42.286680000000004
BHR,oen,ind,ecy,0
BHR,omn,ind,ecy,9.964584
BHR,pow,pow,ecy,-106.386588
BHR,ral,tra,ecy,0
BHR,res,res,ecy,29.977488
BHR,rod,tra,ecy,0
BHR,srv,ind,ecy,21.896964
BGD,cem,ind,ecy,0
BGD,cst,ind,ecy,0
BGD,avi,tra,ecy,0
BGD,nav,tra,ecy,0
BGD,foo,ind,ecy,2.219004
BGD,irn,ind,ecy,0
BGD,mac,ind,ecy,0
BGD,mch,ind,ecy,0
BGD,nfm,ind,ecy,0
BGD,oen,ind,ecy,5.484708
BGD,omn,ind,ecy,135.14990400000002
