CountryCode,country,year,measure,FlowCode,ecy,coa,nga,oop,gso,die,ker,lpg,jfu,wnd,sol,hyd,ore,nuc,bio,hea,totren,total
ALB,Albania,2018,ktoe,eloutput,0,0,0,0,0,0,0,0,0,0,1,8552,0,0,0,0,8553,8553
DZA,Algeria,2018,ktoe,eloutput,0,0,75502,0,0,378,0,0,0,11,655,117,0,0,0,0,783,76663
AGO,Angola,2018,ktoe,eloutput,0,0,0,3001,0,0,0,0,0,0,0,8734,0,0,0,0,8734,11735
ARG,Argentina,2018,ktoe,eloutput,0,2283,95357,2818,0,3993,0,0,0,1413,108,32285,145,6902,1215,0,35166,146518
ARM,Armenia,2018,ktoe,eloutput,0,0,3376,0,0,0,0,0,0,2,19,2318,0,2076,0,0,2340,7791
AUS,Australia,2018,ktoe,eloutput,0,157711,53817,390,0,4448,0,0,0,15164,9929,15831,1254,0,2264,0,44442,260808
AUT,Austria,2018,ktoe,eloutput,0,3620,9918,713,0,3,0,0,0,6030,1438,37638,1681,0,3966,13,50036,65019
AZE,Azerbaijan,2018,ktoe,eloutput,0,0,23128,0,0,49,0,0,0,83,39,1768,162,0,0,0,1971,25229
BHR,Bahrain,2018,ktoe,eloutput,0,0,29544,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29546
BGD,Bangladesh,2018,ktoe,eloutput,0,1500,59437,11501,0,4792,0,0,0,6,291,1086,0,0,0,0,1383,78612
BLR,Belarus,2018,ktoe,eloutput,0,26,37890,264,0,0,0,0,0,99,177,324,75,0,131,0,774,38986
BEL,Belgium,2018,ktoe,eloutput,0,2345,23982,132,0,16,4,9,0,7465,3902,314,3343,28597,3484,487,17151,74079
BEN,Benin,2018,ktoe,eloutput,0,0,63,89,0,45,0,0,0,0,5,0,0,0,0,0,5,202
VEN,Bolivarian Republic of Venezuela,2018,ktoe,eloutput,0,0,24950,2304,0,14256,0,0,0,71,6,58150,0,0,0,0,58228,99738
BIH,Bosnia and Herzegovina,2018,ktoe,eloutput,0,12437,25,47,0,0,0,0,0,103,21,6418,7,0,1,0,6550,19059
BWA,Botswana,2018,ktoe,eloutput,0,3146,0,0,0,8,0,0,0,0,5,0,0,0,0,0,5,3158
BRA,Brazil,2018,ktoe,eloutput,0,23285,54622,8012,0,4514,0,0,0,48475,3461,388971,1496,15674,52414,447,494818,601371
BRN,Brunei Darussalam,2018,ktoe,eloutput,0,0,4245,0,0,47,0,0,0,0,2,0,0,0,0,0,2,4294
BGR,Bulgaria,2018,ktoe,eloutput,0,18659,2017,331,0,7,0,0,0,1318,1343,5147,312,16125,1280,22,9300,46562
KHM,Cambodia,2018,ktoe,eloutput,0,3057,0,299,0,0,0,0,0,0,16,4737,0,0,64,0,4816,8172
CMR,Cameroon,2018,ktoe,eloutput,0,0,2341,293,0,910,0,0,0,0,19,5023,0,0,40,0,5082,8626
CAN,Canada,2018,ktoe,eloutput,0,50530,63114,4501,0,1609,0,0,0,33183,3796,385840,1257,100731,9517,210,433500,654288
CHL,Chile,2018,ktoe,eloutput,0,29867,13084,530,0,757,0,0,0,3588,5218,23367,282,0,5621,0,38075,82313
CHN,China,2018,ktoe,eloutput,0,4772856,223968,10750,0,0,0,0,0,365800,177200,1199200,13562,295000,90565,0,1832901,7148901
TWN,Chinese Taipei,2018,ktoe,eloutput,0,131225,92416,7907,0,340,0,0,0,1686,2740,4468,3594,27682,150,0,10852,272207
COL,Colombia,2018,ktoe,eloutput,0,4545,11622,2341,0,0,0,0,0,43,21,59932,4,0,1454,0,61455,79963
COD,"Congo, Democratic Republic of the",2018,ktoe,eloutput,0,0,2,0,0,5,0,0,0,0,10,10538,0,0,27,0,10575,10583
CRI,Costa Rica,2018,ktoe,eloutput,0,0,0,159,0,0,0,0,0,1799,56,8343,969,0,173,0,11340,11499
HRV,Croatia,2018,ktoe,eloutput,0,1453,2245,64,0,5,0,0,0,1335,75,7701,357,0,313,0,9781,13548
CUB,Cuba,2018,ktoe,eloutput,0,0,2637,17443,0,0,0,0,0,21,147,146,0,0,444,0,757,20837
CUW,Curaçao/Netherlands Antilles,2018,ktoe,eloutput,0,0,0,333,0,280,0,0,0,234,19,0,0,0,0,0,252,866
CYP,Cyprus,2018,ktoe,eloutput,0,0,0,3247,0,1336,0,0,0,221,199,0,57,0,0,0,477,5061
CZE,Czech Republic,2018,ktoe,eloutput,0,43571,3750,71,0,17,0,20,0,609,2359,1629,2788,29921,2121,125,9425,86981
CIV,Côte d'Ivoire,2018,ktoe,eloutput,0,0,7026,3,0,7,0,0,0,0,0,2962,0,0,61,0,3023,10059
PRK,Democratic People's Republic of Korea,2018,ktoe,eloutput,0,1852,0,765,0,0,0,0,0,0,15,12800,0,0,0,0,12815,15432
DNK,Denmark,2018,ktoe,eloutput,0,6570,2072,243,0,22,0,0,0,13899,953,15,2185,0,4418,0,20766,30377
DOM,Dominican Republic,2018,ktoe,eloutput,0,2285,4737,9912,0,0,0,0,0,497,230,1780,0,0,209,0,2717,19651
ECU,Ecuador,2018,ktoe,eloutput,0,0,1529,5016,0,1409,0,54,0,80,38,20678,46,0,382,0,21224,29233
EGY,Egypt,2018,ktoe,eloutput,0,0,155164,23103,0,0,0,0,0,2360,543,12899,0,0,0,0,15802,194069
SLV,El Salvador,2018,ktoe,eloutput,0,0,0,1197,0,3,0,0,0,0,285,1631,1576,0,710,0,4202,5402
ERI,Eritrea,2018,ktoe,eloutput,0,0,0,451,0,0,0,0,0,2,43,0,0,0,0,0,45,496
EST,Estonia,2018,ktoe,eloutput,0,753,58,9463,0,0,0,0,0,636,31,15,181,0,1223,0,1989,12360
ETH,Ethiopia,2018,ktoe,eloutput,0,0,0,5,0,0,0,0,0,533,20,13018,0,0,0,0,13570,13575
FIN,Finland,2018,ktoe,eloutput,0,10069,4194,220,0,44,0,1,0,5839,90,13301,1610,22793,11821,281,32139,70263
FRA,France,2018,ktoe,eloutput,0,10646,30588,4223,0,1778,0,0,0,28599,10569,65285,7575,412942,3767,667,113397,576637
GAB,Gabon,2018,ktoe,eloutput,0,0,1115,0,0,230,0,0,0,0,2,901,0,0,11,0,914,2260
GEO,Georgia,2018,ktoe,eloutput,0,12,2103,0,0,0,0,0,0,84,0,9949,0,0,0,0,10034,12149
DEU,Germany,2018,ktoe,eloutput,0,238974,83425,4297,0,723,0,166,0,109951,45784,17974,47297,76005,10827,1567,224767,636990
GHA,Ghana,2018,ktoe,eloutput,0,0,6206,6,0,0,0,0,0,0,33,6017,0,0,0,0,6050,12262
GIB,Gibraltar,2018,ktoe,eloutput,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,215
GRC,Greece,2018,ktoe,eloutput,0,17185,14080,4427,0,1115,0,5,0,6300,3791,5743,588,0,12,0,16148,53246
GTM,Guatemala,2018,ktoe,eloutput,0,4163,0,1198,0,4,0,0,0,320,205,5311,327,0,2597,0,8759,14123
HTI,Haiti,2018,ktoe,eloutput,0,0,0,586,0,262,0,0,0,0,1,197,0,0,0,0,198,1046
HND,Honduras,2018,ktoe,eloutput,0,0,0,2904,0,128,0,96,0,929,993,3262,297,0,917,0,6398,9526
HKG,Hong Kong (China),2018,ktoe,eloutput,0,23271,12904,286,0,0,0,0,0,1,1,0,91,0,0,0,69,36554
HUN,Hungary,2018,ktoe,eloutput,0,4834,7234,78,0,12,0,0,0,607,620,222,726,15733,1799,139,3753,32004
ISL,Iceland,2018,ktoe,eloutput,0,0,0,0,0,2,0,0,0,4,0,13814,6010,0,0,0,19828,19830
IND,India,2018,ktoe,eloutput,0,1163402,73619,0,0,7848,0,0,0,64294,39728,151133,2611,37813,42771,0,299788,1583219
IDN,Indonesia,2018,ktoe,eloutput,0,160021,59421,5060,0,9819,0,0,0,190,91,21636,16208,0,11325,0,49138,283771
IRN,Iran,2018,ktoe,eloutput,0,650,256188,10918,0,18163,0,0,0,368,176,15765,24,7591,0,0,16334,309843
IRQ,Iraq,2018,ktoe,eloutput,0,0,40940,39691,0,0,0,0,0,0,57,1818,0,0,0,0,1875,82506
IRL,Ireland,2018,ktoe,eloutput,0,4247,16014,99,0,37,0,4,0,8640,17,694,816,0,330,0,10195,30896
ISR,Israel,2018,ktoe,eloutput,0,20599,46039,101,0,239,0,0,0,183,1574,NA,0,0,0,159,1757,68894
ITA,Italy,2018,ktoe,eloutput,0,30956,128538,10630,0,381,0,18,0,17716,22654,48786,23520,0,4191,601,114415,287992
