CountryCode,TwoLetterCountryCode,FuelType,Year,CapacityMW,ProductionGWh,ProductionMWy,OrigProdGreaterThanOrigCap,CapacityFactor
AFG,AF,bio,2018,0,0,0,FALSE,0
AFG,AF,coa,2018,0,0,0,FALSE,0
AFG,AF,hyd,2018,384,996.22,113.72374429223744,FALSE,0.2961555840943683
AFG,AF,nga,2018,0,0,0,FALSE,0
AFG,AF,nuc,2018,0,0,0,FALSE,0
AFG,AF,oil,2018,225,147.74,16.865296803652967,FALSE,0.07495687468290207
AFG,AF,ore,2018,0,0,0,FALSE,0
AFG,AF,sol,2018,22,0,0,FALSE,0
AFG,AF,wnd,2018,0,0,0,FALSE,0
AGO,AO,bio,2018,0,0,0,FALSE,0
AGO,AO,coa,2018,0,0,0,FALSE,0
AGO,AO,hyd,2018,2699,8321.9125,949.9900114155251,FALSE,0.3519785147890052
AGO,AO,nga,2018,1184,0,0,FALSE,0
AGO,AO,nuc,2018,0,0,0,FALSE,0
AGO,AO,oil,2018,1443.38,3175.0752,362.4515068493151,FALSE,0.25111301725762797
AGO,AO,ore,2018,0,0,0,FALSE,0
AGO,AO,sol,2018,13,0,0,FALSE,0
AGO,AO,wnd,2018,0,0,0,FALSE,0
ALB,AL,bio,2018,0,0,0,FALSE,0
ALB,AL,coa,2018,0,0,0,FALSE,0
ALB,AL,hyd,2018,2105,8552.1499,976.2728196347032,FALSE,0.4637875627718305
ALB,AL,nga,2018,0,0,0,FALSE,0
ALB,AL,nuc,2018,0,0,0,FALSE,0
ALB,AL,oil,2018,98,0,0,FALSE,0
ALB,AL,ore,2018,0,0,0,FALSE,0
ALB,AL,sol,2018,1,2.2,0.2511415525114155,FALSE,0.2511415525114155
ALB,AL,wnd,2018,0,0,0,FALSE,0
ARE,AE,bio,2018,0,0,0,FALSE,0
ARE,AE,coa,2018,0,0,0,FALSE,0
ARE,AE,hyd,2018,0,0,0,FALSE,0
ARE,AE,nga,2018,32371,133057.5455,15189.21752283105,FALSE,0.4692229935074928
ARE,AE,nuc,2018,0,0,0,FALSE,0
ARE,AE,oil,2018,500,1530,174.65753424657535,FALSE,0.3493150684931507
ARE,AE,ore,2018,0,0,0,FALSE,0
ARE,AE,sol,2018,594,1409.1877,160.86617579908676,FALSE,0.27081847777624035
ARE,AE,wnd,2018,1,0,0,FALSE,0
ARG,AR,bio,2018,653,1918.6348,219.02223744292237,FALSE,0.3354092457012594
ARG,AR,coa,2018,930,2486.5351,283.8510388127854,FALSE,0.3052161707664359
ARG,AR,hyd,2018,11288.32,40312.57,4601.891552511415,FALSE,0.4076684176663503
ARG,AR,nga,2018,24072.5,86952.5285,9926.087728310502,FALSE,0.4123413741119743
ARG,AR,nuc,2018,1627,7013.9551,800.6798059360731,FALSE,0.4921203478402416
ARG,AR,oil,2018,2913,6525.138,744.8787671232876,FALSE,0.25570846794482927
ARG,AR,ore,2018,0,0,0,FALSE,0
ARG,AR,sol,2018,190.63,108.117,12.342123287671233,FALSE,0.06474386658800417
ARG,AR,wnd,2018,750,1412.743,161.2720319634703,FALSE,0.21502937595129376
ARM,AM,bio,2018,0,0,0,FALSE,0
ARM,AM,coa,2018,0,0,0,FALSE,0
ARM,AM,hyd,2018,1336.4,2318.3022,264.6463698630137,FALSE,0.19802930998429638
ARM,AM,nga,2018,2390,3375.4825,385.3290525114155,FALSE,0.16122554498385586
ARM,AM,nuc,2018,407.5,2076.1,236.99771689497717,FALSE,0.5815894893128274
ARM,AM,oil,2018,0,0,0,FALSE,0
ARM,AM,ore,2018,0,0,0,FALSE,0
ARM,AM,sol,2018,17,7.6804,0.8767579908675799,FALSE,0.051573999462798815
ARM,AM,wnd,2018,11.8,1.682,0.19200913242009132,FALSE,0.016271960374584008
AUS,AU,bio,2018,709,3517.1373,401.4996917808219,FALSE,0.5662901153467164
AUS,AU,coa,2018,25150,157710.3231,18003.46154109589,FALSE,0.7158434012364171
AUS,AU,hyd,2018,8725,16020.9002,1828.8698858447488,FALSE,0.2096125943661603
AUS,AU,nga,2018,18331,53881.9411,6150.906518264839,FALSE,0.33554669784871743
AUS,AU,nuc,2018,0,0,0,FALSE,0
AUS,AU,oil,2018,1878,4904.3651,559.8590296803652,FALSE,0.2981144992973191
AUS,AU,ore,2018,1,0,0,FALSE,0
AUS,AU,sol,2018,11305,9931.742,1133.760502283105,FALSE,0.1002884124089434
AUS,AU,wnd,2018,5818,15174.4431,1732.2423630136987,FALSE,0.2977384604698691
AUT,AT,bio,2018,1734,5645.484,644.4616438356164,FALSE,0.37166184765606486
AUT,AT,coa,2018,1187,3619.747,413.2131278538813,FALSE,0.3481155247294703
AUT,AT,hyd,2018,14516.246,41438.3024,4730.399817351598,FALSE,0.3258693616346539
AUT,AT,nga,2018,5228.336,9848.6204,1124.2717351598174,FALSE,0.21503433122121787
AUT,AT,nuc,2018,0,0,0,FALSE,0
AUT,AT,oil,2018,704.406,717.475,81.90353881278538,FALSE,0.11627319871322134
AUT,AT,ore,2018,1,0.239,0.02728310502283105,FALSE,0.02728310502283105
AUT,AT,sol,2018,1437.6,1437.641,164.1142694063927,FALSE,0.11415850682136389
AUT,AT,wnd,2018,2877.5,6030.2085,688.3799657534247,FALSE,0.2392284850576628
AZE,AZ,bio,2018,45,162.2,18.515981735159816,FALSE,0.41146626078132925
AZE,AZ,coa,2018,0,0,0,FALSE,0
AZE,AZ,hyd,2018,1130.8,1768,201.82648401826484,FALSE,0.1784811496447337
AZE,AZ,nga,2018,3070,23128.1,2640.1940639269405,FALSE,0.8599980664257135
AZE,AZ,nuc,2018,0,0,0,FALSE,0
AZE,AZ,oil,2018,3482.2,48.9,5.582191780821918,FALSE,0.0016030646662517714
AZE,AZ,ore,2018,0,0,0,FALSE,0
AZE,AZ,sol,2018,34.9,39.3,4.486301369863014,FALSE,0.12854731718805198
AZE,AZ,wnd,2018,66,82.7,9.440639269406393,FALSE,0.1430399889303999
BDI,BI,bio,2018,0,0,0,FALSE,0
BDI,BI,coa,2018,0,0,0,FALSE,0
BDI,BI,hyd,2018,48,133.0731,15.190993150684932,FALSE,0.31647902397260275
BDI,BI,nga,2018,0,0,0,FALSE,0
BDI,BI,nuc,2018,0,0,0,FALSE,0
BDI,BI,oil,2018,37,99.0875,11.311358447488585,FALSE,0.30571239047266446
BDI,BI,ore,2018,0,0,0,FALSE,0
BDI,BI,sol,2018,5,0,0,FALSE,0
BDI,BI,wnd,2018,0,0,0,FALSE,0
BEL,BE,bio,2018,1064,6803.6,776.6666666666666,FALSE,0.7299498746867168
BEL,BE,coa,2018,1006.5,2331.2265,266.12174657534246,FALSE,0.264403126254687
BEL,BE,hyd,2018,1423,1301.8493,148.61293378995435,FALSE,0.10443635543918085
BEL,BE,nga,2018,4178,23454.1536,2677.414794520548,FALSE,0.6408364754716487
BEL,BE,nuc,2018,5919,28476.4545,3250.7368150684933,FALSE,0.5492037193898451
BEL,BE,oil,2018,1666.9,164.6,18.789954337899545,FALSE,0.011272394467514274
BEL,BE,ore,2018,1.549566210045662,13.5742,1.549566210045662,TRUE,1
BEL,BE,sol,2018,4254.5,3971.7242,453.39317351598174,FALSE,0.10656791009894975
BEL,BE,wnd,2018,3191,7557.551,862.7341324200913,FALSE,0.2703648174303013
BEN,BJ,bio,2018,3,0,0,FALSE,0
BEN,BJ,coa,2018,0,0,0,FALSE,0
BEN,BJ,hyd,2018,1,1.4762,0.16851598173515983,FALSE,0.16851598173515983
BEN,BJ,nga,2018,100,139.922,15.97283105022831,FALSE,0.1597283105022831
BEN,BJ,nuc,2018,0,0,0,FALSE,0
