country_code,country,year,measure,flow_code,ecy,coa,nga,oop,gso,die,ker,lpg,jfu,wnd,sol,hyd,ore,nuc,bio,hea,totren,total
ALB,Albania,2018,ktoe,cement,9,211,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,265
ALB,Albania,2018,ktoe,construc,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
ALB,Albania,2018,ktoe,distloss,-96,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-98
ALB,Albania,2018,ktoe,domesair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2018,ktoe,domesnav,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30
ALB,Albania,2018,ktoe,eloutput,0,0,0,0,0,0,0,0,0,0,1,8552,0,0,0,0,8553,8553
ALB,Albania,2018,ktoe,exports,-152,0,0,-680,0,-41,0,0,0,0,0,0,0,0,-17,0,-17,-889
ALB,Albania,2018,ktoe,food_forest,31,0,6,17,0,86,0,8,0,0,1,0,0,0,21,0,22,170
ALB,Albania,2018,ktoe,imports,73,79,0,57,139,677,0,216,16,0,0,0,111,0,15,0,126,1384
ALB,Albania,2018,ktoe,info_agrc,9,0,0,5,0,51,0,4,0,0,0,0,0,0,13,0,13,81
ALB,Albania,2018,ktoe,info_fish,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,37
ALB,Albania,2018,ktoe,info_food,19,0,6,12,0,1,0,4,0,0,1,0,0,0,8,0,9,51
ALB,Albania,2018,ktoe,info_wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALB,Albania,2018,ktoe,ironstl,24,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,27
ALB,Albania,2018,ktoe,machinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2018,ktoe,mining_chemicals,18,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,26
ALB,Albania,2018,ktoe,nonenuse,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
ALB,Albania,2018,ktoe,nonferrmet,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ALB,Albania,2018,ktoe,ononspec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2018,ktoe,other_manufact,25,9,1,10,2,2,0,3,0,0,0,0,0,0,0,0,0,52
ALB,Albania,2018,ktoe,ownuse,-38,0,-25,-26,0,0,0,-2,0,0,0,0,0,0,0,0,0,-92
ALB,Albania,2018,ktoe,pipeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2018,ktoe,power,735,0,0,0,0,0,0,0,0,0,0,-735,0,0,0,0,-735,0
ALB,Albania,2018,ktoe,production,0,144,32,911,0,0,0,0,0,0,14,735,0,0,162,0,911,1998
ALB,Albania,2018,ktoe,rail,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ALB,Albania,2018,ktoe,resident,271,0,0,0,0,0,0,107,0,0,8,0,0,0,123,0,130,507
ALB,Albania,2018,ktoe,road,0,0,0,0,97,569,0,11,0,0,0,0,111,0,0,0,111,789
ALB,Albania,2018,ktoe,services,129,3,0,6,0,0,0,55,0,0,5,0,0,0,14,0,19,213
ALB,Albania,2018,ktoe,statdiff,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
ALB,Albania,2018,ktoe,stockcha,0,0,0,-37,-29,-47,0,-27,-16,0,0,0,0,0,0,0,0,-156
ALB,Albania,2018,ktoe,tes,-79,223,32,252,110,589,0,188,0,0,14,735,111,0,159,0,1020,2336
ALB,Albania,2018,ktoe,tfc,523,223,7,95,110,694,0,186,0,0,13,0,111,0,158,0,283,2122
ALB,Albania,2018,ktoe,tottranf,735,0,0,-126,0,105,0,0,0,0,0,-735,0,0,-2,0,-737,-22
ALB,Albania,2018,ktoe,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2018,ktoe,worldav,,0,0,0,,,,,0,,0,,0,,0,0,,
DZA,Algeria,2018,ktoe,cement,254,0,1983,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2247
DZA,Algeria,2018,ktoe,construc,157,0,1242,0,0,375,5,9,0,0,0,0,0,0,0,0,0,1789
DZA,Algeria,2018,ktoe,distloss,-852,-95,-487,-592,-21,-53,0,-13,0,0,0,0,0,0,0,0,0,-2112
DZA,Algeria,2018,ktoe,domesair,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,99
DZA,Algeria,2018,ktoe,domesnav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,2018,ktoe,eloutput,0,0,75502,0,0,378,0,0,0,11,655,117,0,0,0,0,783,76663
DZA,Algeria,2018,ktoe,exports,-51,0,-48521,-37729,0,0,0,-7808,-1015,0,0,0,0,0,0,0,0,-95125
