FuelType,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
coa,4.295530593,4.371810645,2.086013953,2.191060858,2.146641111,2.109770447,2.07507832,2.048926594,2.014128733,1.99236902,1.966431605,1.943671763,1.920848737,1.897962043,1.876832148,1.863669074,1.849251826,1.63101346
nga,6.974812765,5.943386625,5.141088875,4.920985259,4.821221293,4.775616462,4.749297437,4.737740758,4.729576007,4.940918166,4.874728191,4.80240736,4.743470317,4.672637801,4.600445436,4.556003544,4.509361063,3.607061205
gso,14.10751488,12.5367985,5.859589014,8.744102217,8.686435234,8.628525661,8.555854253,8.408505442,8.472196823,8.315866523,8.171965578,8.028386549,7.879280673,7.749232281,7.583692587,7.430537112,4.798288195,4.605433093
die,14.22123464,12.79539589,10.60943598,15.83216714,15.19673778,15.09561721,14.99497975,14.86868862,14.61262025,14.72330556,14.45162882,14.20155229,13.9520352,13.69291334,13.4669103,13.17922913,12.91306973,8.338647545
lpg,22.132647,19.75422595,16.00813431,23.88849497,22.92972218,22.77714557,22.62529792,22.43474251,22.04837167,22.21538009,21.80545843,21.42812841,21.0516425,20.66066437,20.31965783,19.88558774,19.48399095,12.5818366
ker,14.16856441,12.64598052,10.24786064,15.29259829,14.67882471,14.58115038,14.4839427,14.36195564,14.11461422,14.22152731,13.95910947,13.71755568,13.47654227,13.22625142,13.00795069,12.73007385,12.47298531,8.054461911
oop,10.41372881,10.59865585,5.057159558,7.546658988,7.243771288,7.195570528,7.147600054,7.087401338,6.965342204,7.018102147,6.888603029,6.769399999,6.650463634,6.526949003,6.419220994,6.282093103,6.155223911,3.974751459
bio,10.49085648,10.67715316,5.09461463,5.351167802,5.242682673,5.152634463,5.067906833,5.00403719,4.91905133,4.865908179,4.802561942,4.746976205,4.691236156,4.63534061,4.583735649,4.551587834,4.516376985,3.983379413
jfu,14.22123464,12.79539589,10.60943598,15.83216714,15.19673778,15.09561721,14.99497975,14.86868862,14.61262025,14.72330556,14.45162882,14.20155229,13.9520352,13.69291334,13.4669103,13.17922913,12.91306973,8.338647545
ecy,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
nuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil,10.41372881,10.59865585,5.057159558,7.546658988,7.243771288,7.195570528,7.147600054,7.087401338,6.965342204,7.018102147,6.888603029,6.769399999,6.650463634,6.526949003,6.419220994,6.282093103,6.155223911,3.974751459
