Country,CountryCode,Technology,Code,Date,Scenario,LCOE ($/MWh),CAPEX ($m/MW),Capacity factor (%),"Thermal Efficiency (%, HHV)",Fixed opex ($/MW/yr),Varliable opex ($/MWh),Debt ratio (%),Cost of debt (bps),Cost of equity (%)
Australia ,AUS,sol,AUS.sol,2019,Mid,49,0.78,0.2,,12646,,0.7,475,0.1
Australia ,AUS,wnd,AUS.wnd,2019,Mid,52,1.48,0.39,,20019,5.9,0.7,475,0.1
Australia ,AUS,nga,AUS.nga,2019,Mid,83,1.06,0.5,0.5,7377,4.4,0.5,485,0.13
Australia ,AUS,coa,AUS.coa,2019,Mid,130,1.98,0.6,0.38,32552,2.2,0.4,526,0.18
China,CHN,sol,CHN.sol,2019,Mid,53,0.68,0.16,,6795,,0.7,600,0.09
China,CHN,wnd,CHN.wnd,2019,Mid,50,1.07,0.28,,12886,7.4,0.8,490,0.09
China,CHN,bio,CHN.bio,2019,Mid,66,1.36,0.63,,10565,12.1,0.7,600,0.08
China,CHN,nuc,CHN.nuc,2019,Mid,68,2.56,0.85,0.33,100028,6.6,0.7,528,0.08
China,CHN,coa,CHN.coa,2019,Mid,63,0.57,0.5,0.39,17456,3.2,0.8,490,0.09
China,CHN,nga,CHN.nga,2019,Mid,101,0.45,0.3,0.41,17288,5,0.8,490,0.09
Germany ,DEU,wnd,DEU.wnd,2019,Mid,53,1.67,0.29,,28008,5.7,0.75,200,0.04
Germany ,DEU,sol,DEU.sol,2019,Mid,57,0.77,0.11,,11903,,0.8,175,0.05
Germany ,DEU,nga,DEU.nga,2019,Mid,88,1.02,0.55,0.54,22904,3.4,0.56,367,0.1
India,IND,sol,IND.sol,2019,Mid,37,0.48,0.19,,6270,,0.8,1000,0.12
India,IND,wnd,IND.wnd,2019,Mid,43,0.87,0.31,,9753,,0.75,1000,0.13
India,IND,coa,IND.coa,2019,Mid,62,0.95,0.65,0.4,17060,1.7,0.7,1265,0.14
India,IND,nga,IND.nga,2019,Mid,94,0.68,0.4,0.46,41336,1.1,0.7,1265,0.14
Japan ,JPN,sol,JPN.sol,2019,Mid,117,1.55,0.15,,41336,,0.85,200,0.07
Japan ,JPN,wnd,JPN.wnd,2019,Mid,105,2.72,0.27,,41799,4.6,0.85,207,0.07
Japan ,JPN,coa,JPN.coa,2019,Mid,70,2.06,0.75,0.41,74031,4.8,0.75,267,0.1
Japan ,JPN,nga,JPN.nga,2019,Mid,92,1.34,0.75,0.49,22263,2.3,0.75,267,0.1
Japan ,JPN,bio,JPN.bio,2019,Mid,121,4.15,0.87,,249673,11.9,0.8,230,0.07
United Kingdom ,GBR,wnd,GBR.wnd,2019,Mid,65,1.69,0.31,,23757,7,0.66,400,0.08
United Kingdom ,GBR,sol,GBR.sol,2019,Mid,78,0.87,0.11,,11363,,0.8,350,0.08
United Kingdom ,GBR,nga,GBR.nga,2019,Mid,81,0.99,0.7,0.54,30783,3.7,0.61,496,0.1
United Kingdom ,GBR,bio,GBR.bio,2019,Mid,126,3.5,0.88,,228068,2.7,0.7,446,0.12
United Kingdom ,GBR,nuc,GBR.nuc,2019,Mid,213,10.34,0.9,0.33,130226,4,0,,0.09
United States,USA,wnd,USA.wnd,2019,Mid,38,1.4,0.42,,30000,,0.7,430,0.09
United States,USA,sol,USA.sol,2019,Mid,55,1.03,0.18,,13788,,0.7,430,0.07
United States,USA,hyd,USA.hyd,2019,Mid,48,3.03,0.75,,36773,1.4,0.65,439,0.1
United States,USA,nga,USA.nga,2019,Mid,48,0.94,0.55,0.49,13600,2.5,0.65,400,0.09
United States,USA,coa,USA.coa,2019,Mid,94,2.33,0.45,0.34,50000,5,0.65,449,0.09
United States,USA,nuc,USA.nuc,2019,Mid,229,10.79,0.92,0.33,102336,3,0.5,509,0.09
