Country,Quantity,Scenario,CarbonTax,Model,Fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
China,Power Supplied ktoe,Baseline,0,New,Total,566543,562321,627794,621579,648107,680119,713222,745673,781466,816968,853380,891321,931196,972482,1015790,1058108,1102689
China,Power Supplied ktoe,Baseline,0,New,coa,385672,364635,377258,367616,355261,351199,347707,344241,341951,341986,339177,336795,335128,333791,332958,332260,332231
China,Power Supplied ktoe,Baseline,0,New,nga,15744,24441,13311,10948,17255,16398,15346,14412,13212,9841,9781,9891,9871,9999,10217,10346,10489
China,Power Supplied ktoe,Baseline,0,New,oil,849,1627,5306,5888,7649,9534,11383,13149,15006,16792,18580,20402,22260,24133,26052,27898,29815
China,Power Supplied ktoe,Baseline,0,New,nuc,21330,22825,32952,34023,38787,44094,49451,54711,60440,66110,71969,78139,84634,91392,98532,105623,113215
China,Power Supplied ktoe,Baseline,0,New,wnd,25367,28704,49139,51898,63920,78120,92715,107352,122707,138272,153829,168778,184044,199481,214401,228846,243050
China,Power Supplied ktoe,Baseline,0,New,sol,11237,14734,33333,36124,46420,57468,68751,79503,90785,101612,112440,124047,135885,147843,160800,173334,186427
China,Power Supplied ktoe,Baseline,0,New,ore,23,427,2447,2815,3983,5345,6806,8334,10081,11920,13927,16151,18612,21304,24284,27411,30904
China,Power Supplied ktoe,Baseline,0,New,hyd,99492,97995,105628,103799,105725,108121,110477,112650,115149,117491,119890,122435,125127,127906,130851,133637,136666
China,Power Supplied ktoe,Baseline,0,New,bio,6830,6932,8421,8467,9108,9841,10587,11321,12135,12944,13787,14683,15635,16633,17695,18752,19893
United States,Power Supplied ktoe,Baseline,0,New,Total,363138,372128,387407,383571,395054,404676,411839,418868,426171,431290,438292,445792,452952,460740,468141,475644,482858
United States,Power Supplied ktoe,Baseline,0,New,coa,113622,40204,58555,24967,37342,38082,39551,40856,42894,55492,54047,52387,51103,49651,48159,47575,47013
United States,Power Supplied ktoe,Baseline,0,New,nga,115022,189830,167159,193587,176610,171114,164592,158416,151716,134291,131367,128923,126198,123906,121730,118827,115976
United States,Power Supplied ktoe,Baseline,0,New,oil,2256,2726,3689,3951,4702,5349,5863,6351,6823,7200,7619,8041,8432,8830,9195,9553,9883
United States,Power Supplied ktoe,Baseline,0,New,nuc,72129,70865,71190,69576,69582,69411,68958,68556,68226,67698,67435,67303,67173,67183,67186,67272,67355
United States,Power Supplied ktoe,Baseline,0,New,wnd,22119,26944,36886,39622,47720,54919,60864,66348,71852,76460,81378,86135,90728,95201,99506,103529,107426
United States,Power Supplied ktoe,Baseline,0,New,sol,6103,8624,13775,15395,20070,24578,29093,33744,38363,42517,47164,51951,56554,61345,65943,70594,75082
United States,Power Supplied ktoe,Baseline,0,New,ore,1870,2079,2588,2733,3225,3698,4123,4579,5074,5531,6091,6719,7377,8117,8887,9727,10603
United States,Power Supplied ktoe,Baseline,0,New,hyd,25998,26738,29106,29263,31058,32552,33649,34701,35733,36479,37401,38365,39248,40183,41033,41882,42657
United States,Power Supplied ktoe,Baseline,0,New,bio,4018,4117,4458,4477,4744,4972,5145,5316,5490,5622,5789,5967,6139,6325,6502,6686,6862
India,Power Supplied ktoe,Baseline,0,New,Total,131511,127555,143287,141868,147193,156114,166069,176058,187273,197190,209507,222626,236559,251439,267140,283005,299847
India,Power Supplied ktoe,Baseline,0,New,coa,97474,92696,95046,92415,88341,86759,85458,84229,83389,83101,82364,81841,81608,81596,81803,82213,82849
India,Power Supplied ktoe,Baseline,0,New,nga,6096,7022,3854,3177,4890,4621,4309,4035,3694,2763,2744,2775,2775,2821,2895,2951,3015
India,Power Supplied ktoe,Baseline,0,New,oil,2153,2109,2721,2754,2965,3259,3577,3892,4252,4579,4984,5424,5899,6411,6958,7525,8126
India,Power Supplied ktoe,Baseline,0,New,nuc,3297,3289,5210,5429,6197,7240,8382,9539,10871,12121,13669,15377,17251,19308,21542,23911,26466
India,Power Supplied ktoe,Baseline,0,New,wnd,4390,4478,9174,9872,12664,16651,21027,25488,30322,34632,39692,44678,49898,55397,60810,66039,71581
India,Power Supplied ktoe,Baseline,0,New,sol,2239,2558,9560,10611,13857,18256,22821,27210,31701,35699,40143,44817,49431,54019,58852,63536,68207
India,Power Supplied ktoe,Baseline,0,New,ore,0,21,405,473,663,927,1230,1555,1944,2331,2827,3398,4050,4796,5641,6576,7629
India,Power Supplied ktoe,Baseline,0,New,hyd,12193,11839,13589,13488,13955,14680,15465,16223,17095,17849,18811,19849,20960,22153,23419,24724,26106
India,Power Supplied ktoe,Baseline,0,New,bio,3669,3542,3729,3648,3660,3720,3800,3887,4006,4115,4276,4466,4685,4937,5221,5529,5869
Brazil,Power Supplied ktoe,Baseline,0,New,Total,50132,54013,54546,54006,54705,55555,56564,57560,58499,59192,60140,61145,62134,63133,64161,65151,66162
Brazil,Power Supplied ktoe,Baseline,0,New,coa,2179,3438,4546,2570,3488,3631,3833,4025,4262,5163,5190,5199,5226,5234,5236,5297,5359
Brazil,Power Supplied ktoe,Baseline,0,New,nga,5640,8092,7141,9014,8222,8212,8152,8087,7954,7101,7163,7247,7305,7378,7458,7472,7485
Brazil,Power Supplied ktoe,Baseline,0,New,oil,948,1038,1132,1167,1250,1331,1413,1490,1560,1615,1677,1739,1798,1854,1908,1960,2010
Brazil,Power Supplied ktoe,Baseline,0,New,nuc,1353,1668,2001,2161,2473,2786,3107,3416,3709,3960,4241,4526,4805,5082,5361,5634,5910
Brazil,Power Supplied ktoe,Baseline,0,New,wnd,3643,4177,4782,5077,5785,6557,7385,8195,8977,9663,10415,11157,11878,12575,13250,13891,14511
Brazil,Power Supplied ktoe,Baseline,0,New,sol,72,342,640,812,1154,1522,1919,2321,2714,3072,3466,3871,4269,4669,5079,5476,5872
Brazil,Power Supplied ktoe,Baseline,0,New,ore,0,57,121,158,227,301,381,465,550,630,725,827,934,1048,1170,1298,1435
Brazil,Power Supplied ktoe,Baseline,0,New,hyd,31892,30915,30002,28995,28153,27353,26597,25868,25160,24454,23802,23182,22587,22017,21475,20952,20456
Brazil,Power Supplied ktoe,Baseline,0,New,bio,4405,4288,4180,4051,3953,3861,3776,3694,3615,3534,3463,3397,3335,3277,3223,3172,3125
South Africa,Power Supplied ktoe,Baseline,0,New,Total,21537,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Africa,Power Supplied ktoe,Baseline,0,New,coa,19494,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Africa,Power Supplied ktoe,Baseline,0,New,nga,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
