Superscenario,SubscenarioNumber,ModuleCode,QuantityCodeMain,SubsectorCode,FuelCode,CPATCodeNoCountry,CPATCode,Helper Column,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
1,1,mit,ptp,avi,coa,mit.ptp.coa.avi.1,chn.mit.ptp.coa.avi.1,2738,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,avi,nga,mit.ptp.nga.avi.1,chn.mit.ptp.nga.avi.1,2739,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,avi,gso,mit.ptp.gso.avi.1,chn.mit.ptp.gso.avi.1,2740,0.504,0.448,0.378,0.565,0.542,0.538,0.535,0.53,0.521,0.525,0.515,0.506,0.498,0.488
1,1,mit,ptp,avi,die,mit.ptp.die.avi.1,chn.mit.ptp.die.avi.1,2741,0.53,0.477,0.396,0.59,0.567,0.563,0.559,0.555,0.545,0.549,0.539,0.53,0.52,0.511
1,1,mit,ptp,avi,lpg,mit.ptp.lpg.avi.1,chn.mit.ptp.lpg.avi.1,2742,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,avi,ker,mit.ptp.ker.avi.1,chn.mit.ptp.ker.avi.1,2743,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,avi,oop,mit.ptp.oop.avi.1,chn.mit.ptp.oop.avi.1,2744,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
1,1,mit,ptp,avi,bio,mit.ptp.bio.avi.1,chn.mit.ptp.bio.avi.1,2745,10.491,10.677,5.095,5.351,5.243,5.153,5.068,5.004,4.919,4.866,4.803,4.747,4.691,4.635
1,1,mit,ptp,avi,ren,mit.ptp.ren.avi.1,chn.mit.ptp.ren.avi.1,2746,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,mit,ptp,cem,coa,mit.ptp.coa.cem.1,chn.mit.ptp.coa.cem.1,3037,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,cem,nga,mit.ptp.nga.cem.1,chn.mit.ptp.nga.cem.1,3038,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,cem,gso,mit.ptp.gso.cem.1,chn.mit.ptp.gso.cem.1,3039,0.504,0.448,0.378,0.565,0.542,0.538,0.535,0.53,0.521,0.525,0.515,0.506,0.498,0.488
1,1,mit,ptp,cem,die,mit.ptp.die.cem.1,chn.mit.ptp.die.cem.1,3040,0.53,0.477,0.396,0.59,0.567,0.563,0.559,0.555,0.545,0.549,0.539,0.53,0.52,0.511
1,1,mit,ptp,cem,lpg,mit.ptp.lpg.cem.1,chn.mit.ptp.lpg.cem.1,3041,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,cem,ker,mit.ptp.ker.cem.1,chn.mit.ptp.ker.cem.1,3042,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,cem,oop,mit.ptp.oop.cem.1,chn.mit.ptp.oop.cem.1,3043,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
