Region,Scenario,Quantity,FuelType,Unit,2017,2018,2025,2030,2035,2040
World,CPS,Electricity generation,Total generation,TWh/y,,,31339.21,34987.98,38801.01,42823.53
World,CPS,Electricity generation,Coal,TWh/y,,,10840.51,11464.25,12107.77,12923.05
World,CPS,Electricity generation,Oil,TWh/y,,,761.79,669.09,630.24,603.14
World,CPS,Electricity generation,Natural gas,TWh/y,,,7124.25,8085.53,9119.62,10185.53
World,CPS,Electricity generation,Nuclear,TWh/y,,,2837.82,3111.65,3381.18,3596.79
World,CPS,Electricity generation,Renewables,TWh/y,,,9744.8,11627.4,13532.15,15484.97
World,CPS,Electricity generation,Hydro,TWh/y,,,4743.59,5170.54,5561.98,5922.83
World,CPS,Electricity generation,Bioenergy,TWh/y,,,898.85,1021.75,1135.75,1256.15
World,CPS,Electricity generation,Wind,TWh/y,,,2308.76,2955.17,3632.41,4258.37
World,CPS,Electricity generation,Geothermal,TWh/y,,,123.34,161.04,207.64,257.57
World,CPS,Electricity generation,Solar PV,TWh/y,,,1642.54,2265.35,2907.22,3658.28
World,CPS,Electricity generation,CSP,TWh/y,,,25.91,46.38,71.61,104.07
World,CPS,Electricity generation,Marine,TWh/y,,,1.81,7.17,15.54,27.72
World,CPS,Capacity,Total capacity,GW,,,9005,10194,11414,12658
World,CPS,Capacity,Coal,GW,,,2204,2316,2455,2630
World,CPS,Capacity,Oil,GW,,,354,312,289,268
World,CPS,Capacity,Natural gas,GW,,,2130,2387,2652,2908
World,CPS,Capacity,Nuclear,GW,,,416,436,465,489
World,CPS,Capacity,Renewables,GW,,,3835,4618,5359,6087
World,CPS,Capacity,Hydro,GW,,,1437,1555,1661,1758
World,CPS,Capacity,Bioenergy,GW,,,191,211,229,247
World,CPS,Capacity,Wind,GW,,,937,1162,1369,1537
World,CPS,Capacity,Geothermal,GW,,,19,24,31,38
World,CPS,Capacity,Solar PV,GW,,,1240,1646,2040,2465
World,CPS,Capacity,CSP,GW,,,10,16,24,32
World,CPS,Capacity,Marine,GW,,,1,3,6,11
World,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,35562.56,37379.14,39244.82,41302.01
World,CPS,CO2 Emissions,Coal,MtCO2/y,,,15116.24,15547.53,15991.49,16609.25
World,CPS,CO2 Emissions,Oil,MtCO2/y,,,12339.91,12904.83,13461.74,14053.34
World,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,8106.41,8926.77,9791.59,10639.42
World,CPS,CO2 Emissions,Power sector,MtCO2/y,,,14316.18,14950.86,15687.6,16594.49
World,CPS,CO2 Emissions,Coal,MtCO2/y,,,10419.67,10838.69,11251.82,11812.96
World,CPS,CO2 Emissions,Oil,MtCO2/y,,,642.11,554.54,518.28,497.22
World,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,3254.4,3557.63,3917.5,4284.3
World,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,19414.89,20507.08,21538.56,22560.92
World,CPS,CO2 Emissions,Coal,MtCO2/y,,,4404.77,4441.08,4480.65,4539.33
World,CPS,CO2 Emissions,Oil,MtCO2/y,,,11103.51,11744.79,12315.07,12903.15
World,CPS,CO2 Emissions,Transport,MtCO2/y,,,8803.5,9433,10007.3,10597.15
World,CPS,CO2 Emissions,International bunkers,MtCO2/y,,,1530.91,1698.51,1884.36,2083.63
World,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,3906.6,4321.21,4742.84,5118.44
World,CPS,CO2 Emissions,Industry,MtCO2/y,,,6628.03,6946.64,7257.79,7572.79
World,CPS,CO2 Emissions,Transport,MtCO2/y,,,9114.96,9787.1,10423.96,11083.75
World,CPS,CO2 Emissions,Buildings,MtCO2/y,,,3178.86,3269.61,3347.62,3392.68
World,CPS,Indicators,Population (million),million,,,8155.582,8520.297,8860.115,9172.453
World,CPS,Indicators,Share of World population,Percent,,,1,1,1,1
World,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,173282.682,205841.449,241464.011,279450.567
World,CPS,Indicators,Share of World GDP,Percent,,,1,1,1,1
World,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,21247.125,24158.953,27252.92,30466.286
World,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,103888.015,119745.428,136874.409,155097.47
World,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.092,0.082,0.075,0.069
World,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.065,0.058,0.053,0.048
World,CPS,Indicators,TPED per capita (toe),toe,,,1.946,1.99,2.038,2.091
North America,CPS,Electricity generation,Total generation,TWh/y,,,5665.93,5871.77,6103.28,6353.79
North America,CPS,Electricity generation,Coal,TWh/y,,,1078.89,1014.83,964,921.92
North America,CPS,Electricity generation,Oil,TWh/y,,,34.29,28.52,22.56,15.38
North America,CPS,Electricity generation,Natural gas,TWh/y,,,2011.33,2068.79,2135.69,2221.74
North America,CPS,Electricity generation,Nuclear,TWh/y,,,832.83,797.51,767.77,730.83
North America,CPS,Electricity generation,Renewables,TWh/y,,,1706.65,1960.18,2211.32,2461.97
North America,CPS,Electricity generation,Hydro,TWh/y,,,769.86,795.54,818.67,841.87
North America,CPS,Electricity generation,Bioenergy,TWh/y,,,104.12,112.64,122.07,131.55
North America,CPS,Electricity generation,Wind,TWh/y,,,524.38,619.3,721.65,808.59
North America,CPS,Electricity generation,Geothermal,TWh/y,,,29.27,36.84,44.64,50.95
North America,CPS,Electricity generation,Solar PV,TWh/y,,,274.62,387.79,491.34,607.89
North America,CPS,Electricity generation,CSP,TWh/y,,,4.25,6.05,8.64,14.59
North America,CPS,Electricity generation,Marine,TWh/y,,,0.14,2.02,4.31,6.53
North America,CPS,Capacity,Total capacity,GW,,,1519,1648,1779,1901
North America,CPS,Capacity,Coal,GW,,,212,194,185,175
North America,CPS,Capacity,Oil,GW,,,37,33,30,26
North America,CPS,Capacity,Natural gas,GW,,,579,626,680,724
North America,CPS,Capacity,Nuclear,GW,,,107,103,97,93
North America,CPS,Capacity,Renewables,GW,,,574,669,754,835
North America,CPS,Capacity,Hydro,GW,,,201,205,209,213
North America,CPS,Capacity,Bioenergy,GW,,,24,26,27,29
North America,CPS,Capacity,Wind,GW,,,166,191,211,226
North America,CPS,Capacity,Geothermal,GW,,,5,6,7,8
North America,CPS,Capacity,Solar PV,GW,,,175,238,295,353
North America,CPS,Capacity,CSP,GW,,,2,2,3,4
North America,CPS,Capacity,Marine,GW,,,0,1,1,2
North America,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,5738.11,5656.36,5605.88,5575.93
North America,CPS,CO2 Emissions,Coal,MtCO2/y,,,1112.84,1036.81,971.92,920.37
North America,CPS,CO2 Emissions,Oil,MtCO2/y,,,2463.99,2393.8,2343.01,2305.58
North America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,2161.28,2225.74,2290.94,2349.98
North America,CPS,CO2 Emissions,Power sector,MtCO2/y,,,1805.53,1727.17,1670.25,1634.38
North America,CPS,CO2 Emissions,Coal,MtCO2/y,,,994.88,921.49,858.28,807.52
North America,CPS,CO2 Emissions,Oil,MtCO2/y,,,23.84,19.21,15.46,11.17
North America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,786.81,786.47,796.51,815.68
North America,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,3397.75,3353.19,3317.57,3292.23
North America,CPS,CO2 Emissions,Coal,MtCO2/y,,,105.13,102.17,100.23,99.11
North America,CPS,CO2 Emissions,Oil,MtCO2/y,,,2269.82,2200.07,2145.38,2102.95
North America,CPS,CO2 Emissions,Transport,MtCO2/y,,,1996.37,1933.88,1888.94,1855.48
North America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,1022.8,1050.96,1071.96,1090.17
North America,CPS,CO2 Emissions,Industry,MtCO2/y,,,633.63,641.52,643.56,648.96
